VEHICLE_OCCUPANTS,LICENSED?,NUMBER OF PERSONS INJURED,FATAL?,VEHICLE_AGE,VEHICLE_COMPANY,FORD?,FEMALE?,DAYTIME?
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,1,TOYT,0,0,0
2,1,0,0,2,NISS,0,0,0
1,1,0,0,1,HOND,0,1,1
1,1,0,0,6,GMC,0,0,1
4,1,0,0,10,LEXS,0,0,1
1,1,0,0,6,TOYT,0,0,1
2,1,0,0,5,NISS,0,0,1
2,1,0,0,13,INFI,0,0,0
1,1,0,0,1,ACUR,0,0,1
1,1,0,0,2,NISS,0,0,1
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,5,ACUR,0,0,0
1,1,0,0,7,NISS,0,0,0
1,1,0,0,6,FORD,1,0,1
2,1,0,0,1,NISS,0,0,0
1,1,0,0,16,INTL,0,0,1
1,1,0,0,4,TOYT,0,0,1
1,1,0,0,7,HOND,0,1,1
1,1,0,0,9,TOYT,0,0,1
3,1,0,0,4,NISS,0,0,1
2,1,0,0,1,LEXS,0,0,1
2,1,0,0,1,HOND,0,1,1
1,1,0,0,15,PTRB,0,0,0
1,1,0,0,19,BMW,0,0,0
3,0,0,0,12,MERZ,0,1,0
1,1,0,0,3,TOYT,0,0,1
3,1,0,0,2,ACUR,0,0,0
1,1,0,0,1,TOYT,0,0,1
2,1,0,0,6,JEEP,0,1,1
1,1,0,0,16,HOND,0,1,1
3,1,0,0,6,TOYT,0,1,1
1,1,0,0,3,HOND,0,0,1
1,1,0,0,8,HOND,0,0,1
2,1,0,0,15,NISS,0,0,0
1,1,0,0,16,FORD,1,0,0
2,1,0,0,15,FORD,1,0,0
1,1,0,0,3,MACK,0,1,1
1,1,0,0,4,HOND,0,1,1
1,1,0,0,3,TOYT,0,0,1
1,1,0,0,11,GMC,0,0,1
1,1,0,0,17,MITS,0,0,0
1,1,0,0,4,TOYT,0,1,1
4,1,0,0,8,INFI,0,0,0
2,1,0,0,1,NISS,0,1,0
1,1,0,0,4,VOLK,0,0,1
1,1,0,0,12,MACK,0,0,1
1,1,0,0,3,TOYT,0,0,0
1,1,0,0,12,HOND,0,0,1
1,1,0,0,1,NISS,0,1,1
2,1,0,0,10,NISS,0,0,0
1,1,0,0,4,FORD,1,0,1
1,1,0,0,5,BMW,0,0,0
1,1,0,0,15,CHEV,0,0,0
3,1,0,0,15,TOYT,0,1,0
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,2,NISS,0,0,0
1,1,0,0,10,MITS,0,0,1
2,1,0,0,3,FORD,1,1,1
1,1,0,0,3,FORD,1,1,1
3,1,0,0,9,NISS,0,0,1
1,1,0,0,3,NISS,0,0,1
1,1,0,0,8,TOYT,0,1,1
1,1,0,0,1,JEEP,0,1,1
1,1,0,0,7,TOYT,0,1,1
1,1,0,0,4,HOND,0,1,1
1,1,0,0,11,TOYT,0,0,0
1,1,0,0,10,TOYT,0,0,0
1,1,0,0,2,NISS,0,1,0
1,1,0,0,7,TOYT,0,0,0
1,1,0,0,4,HOND,0,1,1
1,1,0,0,9,TOYT,0,0,1
1,1,0,0,4,LEXS,0,0,0
1,1,0,0,1,MITS,0,1,1
1,1,0,0,3,INTL,0,0,1
1,1,0,0,3,MERZ,0,0,1
1,1,0,0,2,TOYT,0,0,1
1,1,0,0,8,DODG,0,0,1
1,0,0,0,5,BMW,0,0,1
1,1,0,0,1,TOYT,0,0,0
1,1,0,0,1,CHEV,0,0,1
1,1,0,0,14,NISS,0,0,0
1,1,0,0,6,VOLK,0,1,1
1,1,0,0,7,FORD,1,0,1
1,1,0,0,1,TESL,0,0,1
1,1,0,0,1,BMW,0,0,0
1,1,0,0,9,CHEV,0,0,1
1,1,0,0,6,LEXS,0,1,1
1,1,0,0,4,TOYT,0,1,1
1,1,0,0,4,TOYT,0,1,1
1,1,0,0,2,KIA,0,0,1
1,1,0,0,18,JEEP,0,0,0
1,1,0,0,11,HYUN,0,0,0
1,0,0,0,13,HOND,0,0,0
1,1,0,0,16,JEEP,0,0,0
1,1,0,0,7,HOND,0,0,1
1,1,0,0,3,HYUN,0,0,1
1,1,0,0,11,HOND,0,1,1
2,1,0,0,2,TOYT,0,0,1
1,1,0,0,5,NE/ FL,0,0,1
1,1,0,0,2,NISS,0,0,1
1,1,0,0,15,NISS,0,0,0
3,1,0,0,1,ACUR,0,0,1
